HVM,,,,,,,,,,,,,
,Maša Mesić ,W21B ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Lovorka Čaja ,W21B ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Mihaela Kočila Petković ,W21B ,OK Medjimurje,CRO,  ,,,,98:15 ,(3),,disq ,
,Ines Jurač ,W21B ,OK Vihor,CRO,  ,,,,mp ,,,disq ,
,Ana Markulin ,W21B ,OK Vihor,CRO,  ,,,,96:18 ,(2),,disq ,
,Jelka Penić ,W21B ,OK Vihor,CRO,  ,,,,138:45 ,(11),,disq ,
,Margaux Grioche ,W21B ,OK Maksimir,CRO,  ,,,,mp ,,,disq ,
,Suzana Stanić ,W21B ,OK Kapela,CRO,  ,mp ,,,114:42 ,(8),,disq ,
,Lana Gerjević ,W21B ,OK Kapela,CRO,  ,,,,117:41 ,(9),,disq ,
,,,,,,,,,,,,,
W35,,,,,,,,,,,,,
1.,Irena Čorko Meštrović ,W35 ,OK Kapela,CRO,  ,65:10 ,(2),,54:28 ,(1),,119:38 ,
2.,Dunja Van De Riet ,W35 ,OK Maksimir,CRO,  ,76:42 ,(7),,57:16 ,(2),,133:58 ,+14:20
3.,Martina Bedeković Tanković ,W35 ,OK Jelen,CRO,  ,70:05 ,(4),,66:26 ,(4),,136:31 ,+16:53
4.,Sanda Berženji ,W35 ,OK Kapela,CRO,  ,74:00 ,(5),,62:51 ,(3),,136:51 ,+17:13
5.,Nikolina Šantić ,W35 ,OK Bjelovar,CRO,  ,68:06 ,(3),,68:52 ,(6),,136:58 ,+17:20
6.,Sabina Rako ,W35 ,OK Vihor,CRO,  ,74:51 ,(6),,97:37 ,(11),,172:28 ,+52:50
7.,Ivana Horbec ,W35 ,OK Vihor,CRO,  ,95:02 ,(8),,93:07 ,(9),,188:09 ,+68:31
8.,Mirka Jakšić ,W35 ,OK Maksimir,CRO,  ,98:25 ,(9),,97:22 ,(10),,195:47 ,+76:09
,Fabiana Cini ,W35 ,OK Maksimir,CRO,  ,,,,72:41 ,(7),,disq ,
,Maja Kušt ,W35 ,OK Vihor,CRO,  ,,,,148:28 ,(15),,disq ,
,Vlatka Stupalo ,W35 ,OK Vihor,CRO,  ,,,,123:43 ,(14),,disq ,
