M12,,,,,,,,,,
,Karlo Gobec ,M55 ,OK Vihor,CRO,,dns ,,,disq ,
,,,,,,,,,,
M65,,,,,,,,,,
1.,Ivan Pongrac ,M65 ,OK Japetić,CRO,,31:39 ,(1),,31:39 ,
2.,Ivica Mesić ,M65 ,OK Vihor,CRO,,47:38 ,(2),,47:38 ,+15:59
3.,Tomislav Pavić ,M65 ,OK Vihor,CRO,,52:12 ,(3),,52:12 ,+20:33
4.,Radovan Čepelak ,M65 ,OK Maksimir,CRO,,79:45 ,(4),,79:45 ,+48:06
5.,Milan Turkalj ,M65 ,OK Varaždin,CRO,,100:43 ,(5),,100:43 ,+69:04
,,,,,,,,,,
Otvorena,,,,,,,,,,
1.,Ivan Posinjak ,Otvorena ,OK Kapela,CRO,,57:04 ,(1),,57:04 ,
,Davorka Srebačić ,Otvorena ,OK Varaždin,CRO,,dns ,,,disq ,
,Valter Sučić ,Otvorena ,OK Vihor,CRO,,dns ,,,disq ,
,Senija Zadravec Kermek ,Otvorena ,OK Ivan Merz,CRO,,dns ,,,disq ,
,,,,,,,,,,
Početnici,,,,,,,,,,
1.,Ines Ostajmer ,Početnici ,OK Vihor,CRO,,20:16 ,(1),,20:16 ,
2.,Ana Budi ,Početnici ,OK Japetić,CRO,,22:09 ,(2),,22:09 ,+01:53
3.,Sonja Ostajmer ,Početnici ,OK Vihor,CRO,,25:22 ,(3),,25:22 ,+05:06
4.,Jure Rako ,Početnici ,OK Vihor,CRO,,33:36 ,(4),,33:36 ,+13:20
,,,,,,,,,,
Ž12,,,,,,,,,,
1.,Dora Delić ,Ž12 ,OK Jelen,CRO,,12:41 ,(1),,12:41 ,
2.,Lucija Hercigonja ,Ž12 ,OK Kapela,CRO,,12:51 ,(2),,12:51 ,+00:10
3.,Gloria Šantić ,Ž12 ,OK Bjelovar,CRO,,14:46 ,(3),,14:46 ,+02:05
4.,Sara Delić ,Ž12 ,OK Jelen,CRO,,14:55 ,(4),,14:55 ,+02:14
5.,Veronika Šantić ,Ž12 ,OK Bjelovar,CRO,,16:42 ,(5),,16:42 ,+04:01
6.,Luna Bajrektarević ,Ž12 ,OK Vihor,CRO,,19:16 ,(6),,19:16 ,+06:35
7.,Helena Ćubela ,Ž12 ,OK Jelen,CRO,,20:57 ,(7),,20:57 ,+08:16
8.,Viktoria Šantić ,Ž12 ,OK Bjelovar,CRO,,20:59 ,(8),,20:59 ,+08:18
9.,Vittoria Velimirović ,Ž12 ,OK Maksimir,CRO,,55:15 ,(9),,55:15 ,+42:34
10.,Beatrice Velimirović ,Ž12 ,OK Maksimir,CRO,,57:13 ,(10),,57:13 ,+44:32
,,,,,,,,,,
Ž14,,,,,,,,,,
1.,Monika Pavić ,Ž14 ,OK Vihor,CRO,,24:17 ,(1),,24:17 ,
2.,Wanda Kovač ,Ž14 ,OK Kapela,CRO,,26:31 ,(2),,26:31 ,+02:14
3.,Paola Rako ,Ž14 ,OK Vihor,CRO,,27:46 ,(3),,27:46 ,+03:29
4.,Melissa Drobić ,Ž14 ,OK Kapela,CRO,,32:45 ,(4),,32:45 ,+08:28
5.,Nina Mioković ,Ž14 ,OK Kapela,CRO,,34:29 ,(5),,34:29 ,+10:12
6.,Lucija Marijela Štambuk ,Ž14 ,OK Ivan Merz,CRO,,47:25 ,(6),,47:25 ,+23:08
,Petra Dasović ,Ž14 ,OK Kapela,CRO,,dns ,,,disq ,
,,,,,,,,,,
Ž16,,,,,,,,,,
