Surname,First name,Time,Classifier,kategorija,km,m,Course controls
Bogović,Marijan,71:59,0,M45,4.95,200,13
Strmečki,Petar,74:17,0,M45,4.95,200,13
Horjan,Zdenko,78:11,0,M45,4.95,200,13
Šaflin,Zdravko,84:02,0,M45,4.95,200,13
Dasović,Hrvoje,86:49,0,M45,4.95,200,13
Pavlin,Domagoj,99:58,0,M45,4.95,200,13
Vukmanović,Mladen,,1,M45,4.95,200,13
Špoljar,Krešo,,2,M45,4.95,200,13
Štambuk,Dario,35:31,0,M55,3.48,140,11
Lovrec,Nenad,36:33,0,M55,3.48,140,11
Montes Marcos,Roberto,38:08,0,M55,3.48,140,11
Almqvist,Thomas,42:11,0,M55,3.48,140,11
Horvat,Saša,45:38,0,M55,3.48,140,11
Jelić,Mladen,49:15,0,M55,3.48,140,11
Gobec,Karlo,51:41,0,M55,3.48,140,11
Boban,Mile,59:33,0,M55,3.48,140,11
Besten,Miroslav,66:42,0,M55,3.48,140,11
Belaj,Željko,38:44,0,M65,2.94,110,8
Pongrac,Ivan,41:18,0,M65,2.94,110,8
Mesić,Ivica,45:53,0,M65,2.94,110,8
Ulip,Zeljko,49:00,0,M65,2.94,110,8
Turkalj,Milan,49:56,0,M65,2.94,110,8
Čepelak,Radovan,,1,M65,2.94,110,8
Lah,Mario,103:32,0,OPEN LONG,4.09,150,13
Detić,Iva,123:20,0,OPEN LONG,4.09,150,13
Debić,Mladen,150:02,0,OPEN LONG,4.09,150,13
Labaš,Predrag,,2,OPEN LONG,4.09,150,13
Franc,Vera,,2,OPEN LONG,4.09,150,13
Šantić,Gloria,39:22,0,OPEN SHORT,2.07,60,7
Hodak,Janko,40:57,0,OPEN SHORT,2.07,60,7
Holenda,Karmen,41:43,0,OPEN SHORT,2.07,60,7
Velimirović,Beatrice,,2,OPEN SHORT,2.07,60,7
Pavić,Monika,18:23,0,Ž12,2.07,60,7
Hercigonja,Lucija,26:39,0,Ž12,2.07,60,7
Štambuk,Lucija Marijela,37:39,0,Ž12,2.07,60,7
Dasović,Petra,43:18,0,Ž12,2.07,60,7
Vukelić,Dora,25:21,0,Ž14,2.83,90,9
Štambuk,Zdenka Petra,32:22,0,Ž14,2.83,90,9
Orešković,Lorena,37:45,0,Ž14,2.83,90,9
Potrebica,Ema,39:15,0,Ž14,2.83,90,9
Kaniški,Laura,40:51,0,Ž14,2.83,90,9
Vidaković,Majda,43:52,0,Ž14,2.83,90,9
Gobec,Kimi Maria,45:41,0,Ž14,2.83,90,9
Hodak,Mirta,46:50,0,Ž14,2.83,90,9
Fejzić,Hanna,67:25,0,Ž14,2.83,90,9
Težak,Magdalena,70:24,0,Ž14,2.83,90,9
Pavlin,Paula,46:00,0,Ž16,3.26,130,12
Lovrec,Mia,66:08,0,Ž20,3.85,195,11
Kermek,Dora,91:36,0,Ž20,3.85,195,11
Srebačić,Ana,97:36,0,Ž20,3.85,195,11
Sakar Vukić,Tena,69:58,0,Ž21A,5.9,300,16
Pavić,Mirja,73:53,0,Ž21A,5.9,300,16
Štambuk,Iva,79:52,0,Ž21A,5.9,300,16
Lovrec,Iva,99:39,0,Ž21A,5.9,300,16
Bedeković Tanković,Martina,104:15,0,Ž21A,5.9,300,16
Jandrečić,Nola,,1,Ž21A,5.9,300,16
Vukmanović,Vinka,,1,Ž21A,5.9,300,16
Plevnik,Petra,48:44,0,Ž21B,3.26,130,12
Dukić,Višnja,56:46,0,Ž21B,3.26,130,12
Gajdek,Željka,64:10,0,Ž21B,3.26,130,12
Delić,Ana,67:07,0,Ž21B,3.26,130,12
Birkić,Draženka,67:07,0,Ž21B,3.26,130,12
Baburek,Gabrijela,68:38,0,Ž21B,3.26,130,12
Dukić,Helena,68:50,0,Ž21B,3.26,130,12
Latinger,Sandra,70:01,0,Ž21B,3.26,130,12
Kos,Ines,71:46,0,Ž21B,3.26,130,12
Prpić,Paula,79:06,0,Ž21B,3.26,130,12
Radić,Vedrana,96:49,0,Ž21B,3.26,130,12
Šestan Krajnović,Ivana,,2,Ž21B,3.26,130,12
Mahečić,Ivana,,1,Ž21B,3.26,130,12
Miličević,Aleksandra,86:16,3,Ž21B,3.26,130,12
Pongrac,Maja,,2,Ž21B,3.26,130,12
Ulrich Cvenić,Ivana,,1,Ž21B,3.26,130,12
Berženji,Sanda,53:02,0,Ž35,3.85,195,11
Čorko Meštrović,Irena,53:03,0,Ž35,3.85,195,11
Šantić,Nikolina,54:53,0,Ž35,3.85,195,11
Krš,Sanja,59:57,0,Ž35,3.85,195,11
Kiš,Marta,60:47,0,Ž35,3.85,195,11
Cini,Fabiana,61:43,0,Ž35,3.85,195,11
Mandić,Ana,64:54,0,Ž35,3.85,195,11
Stupalo,Vlatka,66:13,0,Ž35,3.85,195,11
Seražin Korper,Sabina,70:30,0,Ž35,3.85,195,11
Stipić,Bernardica,72:49,0,Ž35,3.85,195,11
Kušt,Maja,79:52,0,Ž35,3.85,195,11
Gobec,Ivana,36:27,0,Ž45,2.94,110,8
Fabek,Branka,46:16,0,Ž45,2.94,110,8
Cvitković,Maja,48:39,0,Ž45,2.94,110,8
Punek Gobec,Neda,49:18,0,Ž45,2.94,110,8
Glinska,Beata Adrianna,50:53,0,Ž45,2.94,110,8
Srebačić,Davorka,50:59,0,Ž45,2.94,110,8
Merino Hernantes,Maria Jose,51:02,0,Ž45,2.94,110,8
Kuzmanić,Ivana,51:20,0,Ž45,2.94,110,8
Kraintz,Evelyn,54:33,0,Ž45,2.94,110,8
Čuljak Gross,Mladenka,55:32,0,Ž45,2.94,110,8
Lovrec,Darinka,55:54,0,Ž45,2.94,110,8
Ebenspanger,Emilija,61:05,0,Ž45,2.94,110,8
Horvat,Mirjana,63:54,0,Ž45,2.94,110,8
Zadravec Kermek,Senija,74:43,0,Ž45,2.94,110,8
Penc,Sanja,77:59,0,Ž45,2.94,110,8
Vendler Čepelak,Željka,,1,Ž45,2.94,110,8
