Surname,First name,Time,Classifier,Course,km,m,Course controls
Ostroški,Sanja,,1,OPEN,1.35,20,15
Holenda,Karmen,,1,OPEN,1.35,20,15
Marković,Kristina,,1,OPEN,1.35,20,15
Belović,Robert,,1,OPEN,1.35,20,15
Zadravec-Kermek,Senija,26:09,3,OPEN,1.35,20,15
Kocijan,Luka,14:37,3,OPEN,1.35,20,15
Potrebica,Tanja,,1,OPEN,1.35,20,15
Salopek,Dorja,07:08,0,Ž12,1.11,10,13
Vidaković,Majda,11:02,0,Ž12,1.11,10,13
Potrebica,Ema,12:44,0,Ž12,1.11,10,13
Markulinčić,Jana,,1,Ž12,1.11,10,13
Jerković Perić,Olga,08:33,0,Ž16,1.46,15,14
Štambuk,Zdenka Petra,10:48,0,Ž16,1.46,15,14
Pavlin,Paula,11:16,0,Ž16,1.46,15,14
Kermek,Dora,14:15,0,Ž16,1.46,15,14
Vukics,Zoé,15:40,0,Ž16,1.46,15,14
Tišljar,Ana,15:54,0,Ž20,1.89,35,17
Lovrec,Mia,17:07,0,Ž20,1.89,35,17
Gazdag,Mónika,,1,Ž20,1.89,35,17
Pavić,Mirja,13:05,0,Ž21,1.94,45,16
Orlić,Antonija,14:46,0,Ž21,1.94,45,16
Beblek,Ana,17:13,0,Ž21,1.94,45,16
Kočila,Mihaela,,1,Ž21,1.94,45,16
Štambuk,Iva,,1,Ž21,1.94,45,16
Sipina Halper,Monika Martina,19:56,3,Ž21,1.94,45,16
Žerjav,Anita,,1,Ž21,1.94,45,16
Bahun,Anja,,1,Ž21,1.94,45,16
Ocvirk,Eva,13:07,0,Ž35,1.71,40,16
Kopjar,Marina,15:29,0,Ž35,1.71,40,16
Janžek,Smiljana,16:23,0,Ž35,1.71,40,16
Cini,Fabiana,16:35,0,Ž35,1.71,40,16
Berženji,Sanda,17:56,0,Ž35,1.71,40,16
Šantić,Nikolina,18:21,0,Ž35,1.71,40,16
Jakšić,Mirka,18:35,0,Ž35,1.71,40,16
Cindrić Perković,Jasminka,18:54,0,Ž35,1.71,40,16
Erdősné Németh,Ágnes,20:44,0,Ž35,1.71,40,16
Bergant Vidaković,Sandra,21:24,0,Ž35,1.71,40,16
Lovrec,Darinka,23:49,0,Ž35,1.71,40,16
Kuzmanić,Ivana,24:43,0,Ž35,1.71,40,16
Csertánné Boldizsár,Eszter,30:16,0,Ž35,1.71,40,16
Perak,Silvija,38:24,0,Ž35,1.71,40,16
Gobec,Ivana,,1,Ž35,1.71,40,16
Popović Budi,Daniela,,1,Ž35,1.71,40,16
Toth,Marianna ,11:25,0,Ž50,1.36,15,14
Vuk,Srebrenka,14:49,0,Ž50,1.36,15,14
Cvitković,Maja,15:13,0,Ž50,1.36,15,14
Kraintz,Evelyn,17:29,0,Ž50,1.36,15,14
Fabek,Branka,19:22,0,Ž50,1.36,15,14
Vodopija,Biserka,21:41,0,Ž50,1.36,15,14
Ebenspanger,Emilija,21:51,0,Ž50,1.36,15,14
Franc,Vera,,3,Ž50,1.36,15,14
